Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Comment
266,SR5WP,438.625000,-,7.600000,Tone,127.3,127.3,FM,12.5,Moszna-Parcela komin Elektrociepłowni Pruszków II
269,SR5WWL,438.462500,-,7.600000,Tone,127.3,127.3,FM,12.5,Marki
270,SR5WZ,439.000000,-,7.600000,Tone,127.3,127.3,FM,12.5,Moszna-Parcela komin Elektrociepłowni Pruszków II
271,SR5YAM,430.537500,+,0.000000,,88.5,88.5,DV,12.5,Komorów
272,SR5YM,438.300000,-,7.600000,,88.5,88.5,DV,12.5,Komorów
273,SR5ZIP,439.250000,-,7.600000,Tone,127.3,127.3,FM,12.5,Warszawa
274,SR5ZQ,438.862500,-,7.600000,,88.5,88.5,DV,12.5,Skierniewice
275,SR5ZU,438.700000,-,7.600000,Tone,88.5,88.5,FM,12.5,Żuromin
276,SR5ZZZ,439.112500,-,7.600000,Tone,127.3,127.3,FM,12.5,Otwock
277,SR6A,145.575000,-,0.600000,,88.5,88.5,DV,12.5,Brzeg
278,SR6AA,439.400000,-,7.600000,Tone,67.0,88.5,FM,12.5,Legnica
279,SR6ACZ,438.950000,-,7.600000,Tone,103.5,103.5,FM,12.5,Wrocław
280,SR6B,145.762500,-,0.600000,Tone,77.0,77.0,FM,12.5,Działoszyn - stacja meteo
281,SR6C,439.250000,-,7.600000,Tone,67.0,67.0,FM,12.5,Bolesławiec
282,SR6DA,439.137500,-,7.600000,,88.5,88.5,FM,12.5,Dalachów
283,SR6DKB,438.262500,-,7.600000,,88.5,88.5,DV,12.5,Krapkowice
284,SR6DL,144.975000,+,0.000000,,88.5,88.5,FM,12.5,Dalachów
285,SR6DMO,438.625000,-,7.600000,Tone,94.8,94.8,FM,12.5,Oława
287,SR6DST,145.687500,-,0.600000,Tone,123.0,123.0,FM,12.5,Strzelin, Wieża Ciśnień
288,SR6DWS,438.462500,-,7.600000,,88.5,88.5,DV,12.5,Wielka Sowa
290,SR6F,145.750000,-,0.600000,Tone,71.9,71.9,FM,12.5,Wysoka k. Góry św. Anny EMITEL
291,SR6FG,439.187500,-,7.600000,Tone,103.5,103.5,FM,12.5,
292,SR6G,145.625000,-,0.600000,Tone,94.8,94.8,FM,12.5,Góra Ślęża EMITEL
293,SR6GL,438.750000,-,7.600000,,88.5,88.5,FM,12.5,Głubczyce
295,SR6J,145.675000,-,0.600000,Tone,67.0,67.0,FM,12.5,Góra Szrenica/Szklarska Poręba
296,SR6JG,438.675000,-,7.600000,Tone,67.0,67.0,FM,12.5,Góra Kopa/Karpacz
297,SR6K,145.737500,-,0.600000,,88.5,88.5,FM,12.5,Jugów
298,SR6LWS,439.287500,-,7.600000,Tone,94.8,94.8,FM,12.5,Wielka Sowa
299,SR6LZM,438.600000,-,7.600000,Tone,103.5,103.5,FM,12.5,Żmigród
300,SR6MA,438.725000,-,7.600000,Tone,94.8,88.5,FM,12.5,Góra Ślęża EMITEL
301,SR6MI,439.337500,-,7.600000,Tone,67.0,88.5,FM,12.5,Miłkowice
302,SR6MRU,439.300000,-,7.600000,,88.5,88.5,FM,12.5,Wrocław
303,SR6NR,439.425000,-,7.600000,Tone,94.8,88.5,FM,12.5,Nowa Ruda-Słupiec
304,SR6OA,438.875000,-,7.600000,Tone,123.0,123.0,FM,12.5,Oława
305,SR6OO,439.250000,-,7.600000,Tone,123.0,123.0,FM,12.5,Olesno
306,SR6OP,439.325000,-,7.600000,Tone,94.8,94.8,FM,12.5,Opole
307,SR6PS,438.800000,-,7.600000,Tone,94.8,94.8,FM,12.5,Świdnica
308,SR6R,145.600000,-,0.600000,Tone,103.5,103.5,FM,12.5,Wrocław
310,SR6S,145.787500,-,0.600000,Tone,94.8,94.8,FM,12.5,Wielka Sowa
311,SR6TT,439.225000,-,7.600000,Tone,67.0,67.0,FM,12.5,59-420 BOLKÓW STARE ROCHOWICE 116
312,SR6TW,438.750000,-,7.600000,,88.5,88.5,DV,12.5,Chełstów
