Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
162,SR4DMR,438.612500,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
163,SR4DX,439.500000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,,,,,
164,SR4EL,439.050000,-,7.600000,Tone,94.8,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,Elblag,,,,
165,SR4FSK,439.525000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Grajewo,,,,
166,SR4H,439.237500,-,7.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Hajnowka,,,,
167,SR4J,145.625000,-,0.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"Gora Dylewska EMITEL",,,,
168,SR4KT,439.275000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,Ketrzyn,,,,
169,SR4L,438.100000,-,7.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,,,,,
170,SR4LDG,1298.200000,-,28.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,"Gora Dylewska EMITEL",,,,
171,SR4LG,438.725000,-,7.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
172,SR4LM,1298.600000,-,28.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
173,SR4LO,439.100000,-,7.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
174,SR4LU,439.375000,-,7.600000,,88.5,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,Lubawa,,,,
175,SR4M,145.600000,-,0.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
